emendaaprovadavalorredu,emendaapresentadavalorredu,emendaaprovadavalorrefor,emendaaprovadavalorcria,emenda,cd_exercicio,nomedoautor,emendaapresentadavalorrefor,emendaapresentadavalorcria,id
0.00,-750000.00,0.00,0.00,154,2014,ABOU ANNI,0.00,750000.00,24
0.00,-400000.00,0.00,0.00,155,2014,ABOU ANNI,0.00,400000.00,25
0.00,-700000.00,0.00,0.00,156,2014,ABOU ANNI,0.00,700000.00,26
0.00,-320000.00,0.00,0.00,157,2014,ABOU ANNI,0.00,320000.00,27
0.00,-300000.00,0.00,0.00,158,2014,ABOU ANNI,0.00,300000.00,28
0.00,-300000.00,0.00,0.00,159,2014,ABOU ANNI,0.00,300000.00,29
0.00,-300000.00,0.00,0.00,160,2014,ABOU ANNI,0.00,300000.00,30
0.00,-300000.00,0.00,0.00,161,2014,ABOU ANNI,0.00,300000.00,31
0.00,-300000.00,0.00,0.00,162,2014,ABOU ANNI,0.00,300000.00,32
0.00,-50000.00,0.00,0.00,163,2014,ABOU ANNI,0.00,50000.00,33
0.00,-191117.10,0.00,0.00,164,2014,ABOU ANNI,0.00,191117.10,34
0.00,-500000.00,0.00,0.00,165,2014,ABOU ANNI,0.00,500000.00,35
0.00,-1757853.13,0.00,0.00,166,2014,ABOU ANNI,0.00,1757853.13,40
0.00,-10000000.00,0.00,0.00,167,2014,ABOU ANNI,0.00,10000000.00,42
0.00,-300000.00,0.00,0.00,168,2014,ABOU ANNI,0.00,300000.00,62
0.00,-300000.00,0.00,0.00,169,2014,ABOU ANNI,0.00,300000.00,2865
0.00,-2000000.00,0.00,0.00,170,2014,ABOU ANNI,0.00,2000000.00,2875
0.00,-50000000.00,0.00,0.00,171,2014,ABOU ANNI,50000000.00,0.00,2896
0.00,-600000.00,0.00,600000.00,172,2014,ABOU ANNI,0.00,600000.00,6171
0.00,-1050000.00,0.00,1050000.00,173,2014,ABOU ANNI,0.00,1050000.00,6343
0.00,-350000.00,350000.00,0.00,174,2014,ABOU ANNI,350000.00,0.00,6347
0.00,-50000.00,0.00,0.00,175,2014,ABOU ANNI,0.00,50000.00,6521
0.00,-8000000.00,0.00,0.00,176,2014,ABOU ANNI,0.00,8000000.00,6535
0.00,-100000.00,0.00,100000.00,2084,2014,ADILSON AMADEU,0.00,100000.00,6710
0.00,-500000.00,0.00,500000.00,2085,2014,ADILSON AMADEU,0.00,500000.00,6729
0.00,-100000.00,0.00,100000.00,2086,2014,ADILSON AMADEU,0.00,100000.00,6742
0.00,-130000.00,0.00,130000.00,2087,2014,ADILSON AMADEU,0.00,130000.00,6767
0.00,-100000.00,0.00,100000.00,2088,2014,ADILSON AMADEU,0.00,100000.00,6777
0.00,-200000.00,0.00,200000.00,2089,2014,ADILSON AMADEU,0.00,200000.00,6792
0.00,-140000.00,0.00,140000.00,2090,2014,ADILSON AMADEU,0.00,140000.00,6801
0.00,-250000.00,0.00,250000.00,2091,2014,ADILSON AMADEU,0.00,250000.00,7218
0.00,-130000.00,0.00,130000.00,2092,2014,ADILSON AMADEU,0.00,130000.00,7227
0.00,-350000.00,0.00,350000.00,2093,2014,ADILSON AMADEU,0.00,350000.00,7235
0.00,-20000.00,0.00,0.00,1978,2014,ADILSON AMADEU,0.00,20000.00,5431
0.00,-10000.00,0.00,0.00,1979,2014,ADILSON AMADEU,0.00,10000.00,5432
0.00,-10000.00,0.00,0.00,1980,2014,ADILSON AMADEU,0.00,10000.00,5433
0.00,-50000.00,0.00,0.00,1981,2014,ADILSON AMADEU,0.00,50000.00,5434
0.00,-20000.00,0.00,0.00,1982,2014,ADILSON AMADEU,0.00,20000.00,5435
0.00,-20000.00,0.00,0.00,1983,2014,ADILSON AMADEU,0.00,20000.00,5436
0.00,-100000.00,0.00,0.00,1984,2014,ADILSON AMADEU,0.00,100000.00,5437
0.00,-20000.00,0.00,0.00,1985,2014,ADILSON AMADEU,0.00,20000.00,5438
0.00,-30000.00,0.00,0.00,1986,2014,ADILSON AMADEU,0.00,30000.00,5439
0.00,-20000.00,0.00,0.00,1987,2014,ADILSON AMADEU,0.00,20000.00,5440
0.00,-20000.00,0.00,0.00,1988,2014,ADILSON AMADEU,0.00,20000.00,5441
0.00,-20000.00,0.00,0.00,1989,2014,ADILSON AMADEU,0.00,20000.00,5442
0.00,-40000.00,0.00,0.00,1990,2014,ADILSON AMADEU,0.00,40000.00,5443
0.00,-40000.00,0.00,0.00,1991,2014,ADILSON AMADEU,0.00,40000.00,5444
0.00,-20000.00,0.00,0.00,1992,2014,ADILSON AMADEU,0.00,20000.00,5445
0.00,-50000.00,0.00,0.00,1993,2014,ADILSON AMADEU,0.00,50000.00,5446
0.00,-200000.00,0.00,0.00,1994,2014,ADILSON AMADEU,0.00,200000.00,5447
0.00,-100000.00,0.00,0.00,1995,2014,ADILSON AMADEU,0.00,100000.00,5448
0.00,-300000.00,0.00,0.00,1996,2014,ADILSON AMADEU,0.00,300000.00,5449
0.00,-40000.00,0.00,0.00,1997,2014,ADILSON AMADEU,0.00,40000.00,5450
0.00,-20000.00,0.00,0.00,1998,2014,ADILSON AMADEU,0.00,20000.00,5451
0.00,-50000.00,0.00,0.00,1999,2014,ADILSON AMADEU,0.00,50000.00,5452
