datainicial,datafinal,cd_anoexecucao,cd_exercicio,administracao,cd_orgao,ds_orgao,cd_unidade,ds_unidade,projetoatividade,ds_projeto_atividade,cd_despesa,ds_despesa,sld_orcado_ano,vl_atualizado,vl_empenhadoliquido,vl_liquidado
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33903600,Outros Serviços de Terceiros - Pessoa Física,1000.0,1000.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2006,Aquisição de Vale Transporte,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,1460000.0,600000.0,600000.0,600000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33903300,Passagens e Despesas com Locomoção,50000.0,10000.0,10000.0,10000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33903200,Material de Distribuição Gratuita,20000.0,10000.0,10000.0,10000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33903100,"Premiações Culturais, Artísticas, Científicas, Desport. e Outras",80000.0,70000.0,70000.0,70000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33903000,Material de Consumo,1650000.0,2000000.0,2000000.0,2000000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33900800,Outros Benefícios Assistenciais,200000.0,160000.0,160000.0,160000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31909200,Despesas de Exercícios Anteriores,9000000.0,1800000.0,1800000.0,1800000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31909100,Sentenças Judiciais,1000.0,1000.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31901300,Obrigações Patronais,17000000.0,19700000.0,19700000.0,19700000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31901100,Vencimentos e Vantagens Fixas - Pessoal Civil,112190000.0,130105000.0,130105000.0,130105000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31900900,Salário Família,10000.0,22000.0,22000.0,22000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31900300,Pensões,31000.0,32000.0,32000.0,32000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33903700,Locação de Mão-de-Obra,120000.0,120000.0,120000.0,120000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33903500,Serviços de Consultoria,400000.0,40000.0,40000.0,40000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2004,Cursos e Treinamento de Pessoal,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,250000.0,60000.0,60000.0,60000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2003,TV Câmara Municipal - Comunicação,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,2600000.0,2470000.0,2470000.0,2470000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,1000,Reforma e Adaptação do Edifício da Câmara Municipal,44905100,Obras e Instalações,1000000.0,0.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2001,Programa de Estagiários na Câmara Municipal,33903600,Outros Serviços de Terceiros - Pessoa Física,200000.0,70600.0,70600.0,70600.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,44909200,Despesas de Exercícios Anteriores,1000.0,1000.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,44905200,Equipamentos e Material Permanente,2335000.0,1897910.85,1897910.85,1897910.85
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33909200,Despesas de Exercícios Anteriores,30000.0,120000.0,110000.0,110000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33909100,Sentenças Judiciais,1000.0,1000.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,7340000.0,8009000.0,8009000.0,8009000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2005,Fornecimento de Refeições a Servidores - CMSP,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,4788000.0,3900000.0,3900000.0,3900000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2116,Auxílio-Transporte,33904900,Auxílio-Transporte,1000.0,515000.0,480000.0,480000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2153,Publicação de Editais e Outras Legais,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,200000.0,200000.0,200000.0,200000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31900100,Aposentadorias e Reformas,46000000.0,53670000.0,53670000.0,53670000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2115,Auxílio- Refeição,33904600,Auxílio-Alimentação,1000.0,1000.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33901400,Diárias - Civil,10000.0,2000.0,2000.0,2000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31909400,Indenizações e Restituições Trabalhistas,800000.0,1550000.0,1550000.0,1550000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,6912,Aquisição e Locação de Veículos para a Frota da CMSP - E29 parcial,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,1000.0,440000.15,440000.0,440000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,6912,Aquisição e Locação de Veículos para a Frota da CMSP - E29 parcial,44905200,Equipamentos e Material Permanente,2000000.0,0.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,1001,Exame Analítico do Sistema Transp. Coletivo Ônibus do Município de SP,33903500,Serviços de Consultoria,1680000.0,0.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,6963,Parlamento Jovem Municipal - E383,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,9000.0,9000.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,6954,"Aquisição Materiais,Equipamentos e Serviços de Informática -CMSP- E905",44905200,Equipamentos e Material Permanente,80000.0,0.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,6956,"Cursos, Simpósios, Congressos e outros Eventos  Externos - E949",33903900,Outros Serviços de Terceiros - Pessoa Jurídica,300000.0,0.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,6957,"Eventos, Concursos, Solenidades e Premiações - E950",33903900,Outros Serviços de Terceiros - Pessoa Jurídica,500000.0,1185.0,1185.0,1185.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,9655,Comis.Extraord.Perman.Direitos e Cidadania-CMSP-Estrut.Esp.Fís-E1632,44905100,Obras e Instalações,50000.0,0.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,6954,"Aquisição Materiais,Equipamentos e Serviços de Informática -CMSP- E905",33903900,Outros Serviços de Terceiros - Pessoa Jurídica,700000.0,370000.0,370000.0,370000.0
2003-01-01,2003-12-31,2003,2003,Direta,09,Câmara Municipal,10,Câmara Municipal,1130,Projetos Especiais,31900100,Aposentadorias e Reformas,0.0,0.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2050,Fiscalização Orçamentária e Financeira,33903500,Serviços de Consultoria,40000.0,40000.0,40000.0,40000.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2116,Auxílio-Transporte,33904900,Auxílio-Transporte,220000.0,212000.0,212000.0,212000.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2050,Fiscalização Orçamentária e Financeira,33903600,Outros Serviços de Terceiros - Pessoa Física,10000.0,0.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2050,Fiscalização Orçamentária e Financeira,33903000,Material de Consumo,310000.0,310000.0,310000.0,310000.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2050,Fiscalização Orçamentária e Financeira,33901400,Diárias - Civil,10000.0,18000.0,18000.0,18000.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2050,Fiscalização Orçamentária e Financeira,33900800,Outros Benefícios Assistenciais,55000.0,35000.0,35000.0,35000.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2050,Fiscalização Orçamentária e Financeira,31909400,Indenizações e Restituições Trabalhistas,499966.0,675000.0,675000.0,675000.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2050,Fiscalização Orçamentária e Financeira,31909200,Despesas de Exercícios Anteriores,363000.0,3803000.0,3803000.0,3803000.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2050,Fiscalização Orçamentária e Financeira,31901600,Outras Despesas Variáveis - Pessoal Civil,515000.0,385000.0,385000.0,385000.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2050,Fiscalização Orçamentária e Financeira,31901300,Obrigações Patronais,3193000.0,2060000.0,2060000.0,2060000.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2050,Fiscalização Orçamentária e Financeira,31901100,Vencimentos e Vantagens Fixas - Pessoal Civil,50300000.0,55100000.0,55100000.0,55100000.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2050,Fiscalização Orçamentária e Financeira,31900100,Aposentadorias e Reformas,20000000.0,24300000.0,24300000.0,24300000.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2052,Fornecimento de Refeições a Servidores -TCM,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,630000.0,522000.0,522000.0,522000.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2050,Fiscalização Orçamentária e Financeira,33903300,Passagens e Despesas com Locomoção,10000.0,32000.0,32000.0,32000.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2050,Fiscalização Orçamentária e Financeira,44909200,Despesas de Exercícios Anteriores,1000.0,0.0,0.0,0.0
2003-01-01,2003-12-31,2003,2003,Direta,10,Tribunal de Contas,10,Tribunal de Contas,2050,Fiscalização Orçamentária e Financeira,44905200,Equipamentos e Material Permanente,110000.0,97000.0,97000.0,97000.0
