Cd_AnoExecucao,Cd_Exercicio,Administracao,Cd_Orgao,Ds_Orgao,Cd_Unidade,Ds_Unidade,ProjetoAtividade,Ds_Projeto_Atividade,Cd_Despesa,Ds_Despesa,Sld_Orcado_Ano,Vl_Atualizado,Vl_EmpenhadoLiquido,Vl_Liquidado
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,33904600,Auxílio-alimentação,55000000.0,40750000.0,40750000.0,40126893.8
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,33904900,Auxílio-transporte,6200000.0,4400000.0,4400000.0,3982930.15
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,31909200,Despesas de Exercícios Anteriores,0.0,409552.94,409552.94,409552.94
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33909200,Despesas de Exercícios Anteriores,0.0,520250.93,520250.93,0.0
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,33901400,Diárias - Civil,35000.0,35000.0,35000.0,35000.0
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4119,Projeto Sentinela,33901400,Diárias - Civil,8000.0,8000.0,3899.4,3899.4
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,44905200,Equipamentos e Material Permanente,500000.0,500000.0,6900.0,0.0
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,44905200,Equipamentos e Material Permanente,110000.0,106440.0,20061.55,20061.55
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",44905200,Equipamentos e Material Permanente,1500000.0,3311497.44,1799352.45,362352.45
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",44905200,Equipamentos e Material Permanente,38000.0,38000.0,10800.0,0.0
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",44905200,Equipamentos e Material Permanente,27000.0,27000.0,24386.24,0.0
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4119,Projeto Sentinela,44905200,Equipamentos e Material Permanente,84000.0,84000.0,5444.4,0.0
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,31909400,Indenizações Trabalhistas,3500000.0,4250000.0,3960000.0,3955681.7
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,33903700,Locação de Mão-de-obra,100000.0,100000.0,0.0,0.0
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903700,Locação de Mão-de-obra,17600000.0,16253750.2,6910261.63,6476262.56
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,33903000,Material de Consumo,1225100.0,963636.03,263636.03,38226.5
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903000,Material de Consumo,78772000.0,78772000.0,71140779.12,36208987.24
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903000,Material de Consumo,11000000.0,9792756.97,8634135.91,6410198.87
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4119,Projeto Sentinela,33903000,Material de Consumo,20000.0,20000.0,2932.0,0.0
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,31901300,Obrigações Patronais,61700000.0,60240447.06,60240447.06,58473247.62
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,31911300,Obrigações Patronais - RPPS,12400000.0,7050000.0,7050000.0,6681638.3
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,33904700,Obrigações Tributárias e Contributivas,100000.0,41473.52,41473.52,26666.34
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33904800,Outros Auxílios Financeiros a Pessoas Físicas,150000.0,108497.0,104963.0,104963.0
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,33903600,Outros Serviços de Terceiros - Pessoa Física,7700000.0,6684271.55,5264271.55,5206984.58
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903600,Outros Serviços de Terceiros - Pessoa Física,990000.0,717117.3,417117.3,417117.3
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,27332301.0,27258970.0,21748100.0,20544885.23
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4100,Coordenação e Administração Geral,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,1001001.0,1001001.0,484977.73,441954.49
2009.0,2009.0,Indireta,01,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903900,Outros Serviços de Terceiros - Pessoa Jurídica,119371000.0,124992151.68,119159431.11,102326257.76
