cd_anoexecucao,cd_exercicio,administracao,cd_orgao,ds_orgao,cd_unidade,ds_unidade,projetoatividade,ds_projeto_atividade,cd_despesa,ds_despesa,sld_orcado_ano,vl_atualizado,vl_empenhadoliquido,vl_liquidado
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,1000,Construção de Edificações da Câmara Municipal de São Paulo,44903900,Outros Serviços de Terceiros - Pessoa Jurídica,11951811.0,1051811.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,1000,Construção de Edificações da Câmara Municipal de São Paulo,44905100,Obras e Instalações,10050005.0,8050005.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,1001,Reforma e Ampliação de Edificações da Câmara Municipal de São Paulo,44903900,Outros Serviços de Terceiros - Pessoa Jurídica,9177283.0,5177283.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,1001,Reforma e Ampliação de Edificações da Câmara Municipal de São Paulo,44905100,Obras e Instalações,2134252.0,2134252.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,31900900,Salário Família,5120.0,5120.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,31901100,Vencimentos e Vantagens Fixas - Pessoal Civil,272571124.0,241571124.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,31901300,Obrigações Patronais,34376830.0,32876830.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,31909200,Despesas de Exercícios Anteriores,1500000.0,1500000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,31909400,Indenizações Trabalhistas,4000000.0,4000000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,31911300,Obrigações Patronais,25044205.0,21544205.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,33900800,Outros Benefícios Assistenciais,400000.0,400000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,33901400,Diárias - Civil,50000.0,65000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,33903000,Material de Consumo,3684853.0,3669853.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,33903100,"Premiações Culturais, Artísticas, Científicas, Desport. e Outras",87728.0,137728.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,33903200,"Material, Bem ou Serviço para Distribuição Gratuita",25000.0,25000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,33903300,Passagens e Despesas com Locomoção,70000.0,80000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,33903500,Serviços de Consultoria,10000.0,10000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,33903600,Outros Serviços de Terceiros - Pessoa Física,50000.0,50000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,33903700,Locação de Mão-de-Obra,7797396.0,9397396.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,43436942.0,35786942.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,33904900,Auxílio-Transporte,650000.0,650000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,33909200,Despesas de Exercícios Anteriores,100000.0,100000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,33909300,Indenizações e Restituições,8000000.0,8000000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2000,Administração da Câmara Municipal de São Paulo,44905200,Equipamentos e Material Permanente,2101814.0,401814.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2003,Câmara Municipal - Comunicação,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,29569280.0,22569280.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,10,Câmara Municipal de São Paulo,2171,Implantação e Operação de Sistemas de Informação e Comunicação,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,660000.0,890000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,20,Fundo Especial de Despesas da Câmara Municipal de São Paulo,2008,Fundo Especial de Despesas da Câmara Municipal de São Paulo - FECAM,33903000,Material de Consumo,100000.0,100000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,20,Fundo Especial de Despesas da Câmara Municipal de São Paulo,2008,Fundo Especial de Despesas da Câmara Municipal de São Paulo - FECAM,33903600,Outros Serviços de Terceiros - Pessoa Física,0.0,200000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,20,Fundo Especial de Despesas da Câmara Municipal de São Paulo,2008,Fundo Especial de Despesas da Câmara Municipal de São Paulo - FECAM,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,2450000.0,2250000.0,0.0,0.0
2012,2012,Direta,9,Câmara Municipal de São Paulo,20,Fundo Especial de Despesas da Câmara Municipal de São Paulo,2008,Fundo Especial de Despesas da Câmara Municipal de São Paulo - FECAM,44905200,Equipamentos e Material Permanente,2000000.0,7360000.0,0.0,0.0
2012,2012,Direta,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,1013,Construção de Dependências do TCMSP,44905100,Obras e Instalações,20000.0,20000.0,0.0,0.0
2012,2012,Direta,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,1014,Reforma de Dependências do TCMSP,44903900,Outros Serviços de Terceiros - Pessoa Jurídica,3922000.0,222000.0,0.0,0.0
2012,2012,Direta,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,1014,Reforma de Dependências do TCMSP,44905200,Equipamentos e Material Permanente,405000.0,5000.0,0.0,0.0
2012,2012,Direta,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,2050,Administração doTribunal de Contas do Município de São Paulo,31901100,Vencimentos e Vantagens Fixas - Pessoal Civil,174648000.0,152748000.0,0.0,0.0
2012,2012,Direta,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,2050,Administração doTribunal de Contas do Município de São Paulo,31901300,Obrigações Patronais,8061000.0,7811000.0,0.0,0.0
2012,2012,Direta,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,2050,Administração doTribunal de Contas do Município de São Paulo,31901600,Outras Despesas Variáveis - Pessoal Civil,2438000.0,2438000.0,0.0,0.0
2012,2012,Direta,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,2050,Administração doTribunal de Contas do Município de São Paulo,31909200,Despesas de Exercícios Anteriores,1498000.0,1498000.0,0.0,0.0
2012,2012,Direta,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,2050,Administração doTribunal de Contas do Município de São Paulo,31909400,Indenizações Trabalhistas,1829000.0,2829000.0,0.0,0.0
2012,2012,Direta,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,2050,Administração doTribunal de Contas do Município de São Paulo,31909600,Ressarcimento de Despesas de Pessoal Requisitado,677000.0,677000.0,0.0,0.0
2012,2012,Direta,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,2050,Administração doTribunal de Contas do Município de São Paulo,31911300,Obrigações Patronais,27610000.0,26860000.0,0.0,0.0
2012,2012,Direta,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,2050,Administração doTribunal de Contas do Município de São Paulo,31919200,Despesas de Exercícios Anteriores,342000.0,342000.0,0.0,0.0
2012,2012,Direta,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,2050,Administração doTribunal de Contas do Município de São Paulo,33900800,Outros Benefícios Assistenciais,223000.0,223000.0,0.0,0.0
2012,2012,Direta,10,Tribunal de Contas do Município de São Paulo,10,Tribunal de Contas do Município de São Paulo,2050,Administração doTribunal de Contas do Município de São Paulo,33901400,Diárias - Civil,20000.0,20000.0,0.0,0.0
