datainicial,datafinal,cd_anoexecucao,cd_exercicio,administracao,cd_orgao,sigla_orgao,ds_orgao,cd_unidade,ds_unidade,cd_funcao,ds_funcao,cd_subfuncao,ds_subfuncao,cd_programa,ds_programa,tp_projeto_atividade,cd_projeto_atividade,pa,papa,projetoatividade,ds_projeto_atividade,cd_despesa,ds_despesa,cd_fonte,ds_fonte,sld_orcado_ano,vl_atualizado,vl_congeladoliquido,vl_reservado,vl_cancelado,vl_reservadoliquido,vl_empenhado,vl_anulado,vl_empenhadoliquido,vl_liquidado,vl_pago
2013-01-01,2013-12-31,2013,2013,Indireta,01,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302 ,Assistência Hospitalar e Ambulatorial,1111,Acesso à saúde e qualidade no atendimento - Integralidade da atenção,4,103,Atividades,Atividades,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33503900,Outros Serviços de Terceiros - Pessoa Jurídica,00,Tesouro Municipal,49181360.0,86762162.72,0.0,92672400.3,5910237.6,86762162.7,93698300.06,6936137.36,86762162.7,74493657.54,74493657.54
2013-01-01,2013-12-31,2013,2013,Indireta,01,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302 ,Assistência Hospitalar e Ambulatorial,1111,Acesso à saúde e qualidade no atendimento - Integralidade da atenção,4,103,Atividades,Atividades,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903000,Material de Consumo,00,Tesouro Municipal,16827595.0,11087595.0,841379.75,28171627.56,17945774.31,10225853.25,18995725.78,8769872.53,10225853.25,8065698.23,6214414.73
2013-01-01,2013-12-31,2013,2013,Indireta,01,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302 ,Assistência Hospitalar e Ambulatorial,1111,Acesso à saúde e qualidade no atendimento - Integralidade da atenção,4,103,Atividades,Atividades,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903300,Passagens e Despesas com Locomoção,00,Tesouro Municipal,2515.0,615.2,125.75,1498.95,1009.5,489.45,489.45,0.0,489.45,489.45,489.45
2013-01-01,2013-12-31,2013,2013,Indireta,01,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302 ,Assistência Hospitalar e Ambulatorial,1111,Acesso à saúde e qualidade no atendimento - Integralidade da atenção,4,103,Atividades,Atividades,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903600,Outros Serviços de Terceiros - Pessoa Física,00,Tesouro Municipal,235682.0,209175.72,11784.1,197391.62,0.0,197391.62,197391.62,0.0,197391.62,197391.62,197391.62
2013-01-01,2013-12-31,2013,2013,Indireta,01,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302 ,Assistência Hospitalar e Ambulatorial,1111,Acesso à saúde e qualidade no atendimento - Integralidade da atenção,4,103,Atividades,Atividades,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903700,Locação de Mão-de-Obra,00,Tesouro Municipal,1000.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,2013-12-31,2013,2013,Indireta,01,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302 ,Assistência Hospitalar e Ambulatorial,1111,Acesso à saúde e qualidade no atendimento - Integralidade da atenção,4,103,Atividades,Atividades,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903900,Outros Serviços de Terceiros -Pessoa Jurídica,00,Tesouro Municipal,130530319.0,193634496.46,0.0,259245770.88,65611274.42,193634496.46,243048688.89,49414192.43,193634496.46,178412556.07,177232139.45
2013-01-01,2013-12-31,2013,2013,Indireta,01,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302 ,Assistência Hospitalar e Ambulatorial,1111,Acesso à saúde e qualidade no atendimento - Integralidade da atenção,4,103,Atividades,Atividades,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33904800,Outros Auxílios Financeiros a Pessoas Físicas,00,Tesouro Municipal,47469.0,60890.0,0.0,64870.0,3980.0,60890.0,62590.0,1700.0,60890.0,60890.0,60890.0
2013-01-01,2013-12-31,2013,2013,Indireta,01,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302 ,Assistência Hospitalar e Ambulatorial,1111,Acesso à saúde e qualidade no atendimento - Integralidade da atenção,4,103,Atividades,Atividades,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",44905200,Equipamentos e Material Permanente,00,Tesouro Municipal,11741903.0,6634021.05,1587095.15,15446614.12,10599688.22,4846925.9,4846925.9,0.0,4846925.9,2073937.9,1559927.9
2013-01-01,2013-12-31,2013,2013,Indireta,01,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302 ,Assistência Hospitalar e Ambulatorial,1111,Acesso à saúde e qualidade no atendimento - Integralidade da atenção,4,103,Atividades,Atividades,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903900,Outros Serviços de Terceiros -Pessoa Jurídica,02,Transferências Federais,1032000.0,55721976.2,0.0,86634363.39,30912387.19,55721976.2,73925484.83,18203508.63,55721976.2,35365325.39,34609564.73
2013-01-01,2013-12-31,2013,2013,Indireta,01,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302 ,Assistência Hospitalar e Ambulatorial,1111,Acesso à saúde e qualidade no atendimento - Integralidade da atenção,4,103,Atividades,Atividades,4103,"Oper./Manut. Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903900,Outros Serviços de Terceiros -Pessoa Jurídica,06,Recursos Próprios da Administração Indireta,1007740.0,1007740.0,0.0,1211835.41,204204.8,1007630.61,1069903.41,62272.8,1007630.61,958917.64,958917.64
