datainicial,datafinal,cd_anoexecucao,cd_exercicio,administracao,cd_orgao,sigla_orgao,ds_orgao,cd_unidade,ds_unidade,cd_funcao,ds_funcao,cd_subfuncao,ds_subfuncao,cd_programa,ds_programa,pa,papa,projetoatividade,ds_projeto_atividade,cd_despesa,ds_despesa,categoria_despesa,ds_categoria,grupo_despesa,ds_grupo,cd_modalidade,ds_modalidade,cd_elemento,cd_fonte,ds_fonte,sld_orcado_ano,vl_atualizado,vl_congeladoliquido,vl_reservado,vl_cancelado,vl_reservadoliquido,vl_empenhado,vl_anulado,vl_empenhadoliquido,vl_liquidado,vl_pago,dataextracao
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Pessoal,2100,Administração da Unidade,31901100,Vencimentos e Vantagens Fixas - Pessoal Civil,3,Despesas Correntes,1,PESSOAL E ENCARGOS SOCIAIS,90,Aplicações Diretas,11,0,Tesouro Municipal,328419352.0,323519352.0,0.0,630030452.0,308511100.0,321519352.0,329719352.0,8200000.0,321519352.0,319831799.06,319709975.1,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Pessoal,2100,Administração da Unidade,31901300,Obrigações Patronais,3,Despesas Correntes,1,PESSOAL E ENCARGOS SOCIAIS,90,Aplicações Diretas,13,0,Tesouro Municipal,83190474.0,83190474.0,0.0,83211623.12,21149.12,83190474.0,83211623.12,21149.12,83190474.0,73056072.28,73056072.28,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Pessoal,2100,Administração da Unidade,31909100,Sentenças Judiciais,3,Despesas Correntes,1,PESSOAL E ENCARGOS SOCIAIS,90,Aplicações Diretas,91,0,Tesouro Municipal,840000.0,690000.0,0.0,1107147.91,417147.91,690000.0,1137684.23,447684.23,690000.0,685488.67,685488.67,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Pessoal,2100,Administração da Unidade,31909400,Indenizações Trabalhistas,3,Despesas Correntes,1,PESSOAL E ENCARGOS SOCIAIS,90,Aplicações Diretas,94,0,Tesouro Municipal,4030000.0,4030000.0,0.0,4039780.0,9780.0,4030000.0,4039780.0,9780.0,4030000.0,4030000.0,4030000.0,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Pessoal,2100,Administração da Unidade,31911300,Obrigações Patronais,3,Despesas Correntes,1,PESSOAL E ENCARGOS SOCIAIS,91,"Apl.Dir.Dec.Op. entre Órgãos,Fundos e Ent.Int.Orç.Fiscal e Seg.Social",13,0,Tesouro Municipal,8900000.0,7350000.0,0.0,7880000.0,719844.74,7160155.26,7880000.0,719844.74,7160155.26,7160155.26,7160155.26,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Atividade,2100,Administração da Unidade,33901400,Diárias - Civil,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,14,0,Tesouro Municipal,80000.0,31000.0,0.0,34730.27,4383.93,30346.34,36011.34,5665.0,30346.34,30346.34,30346.34,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Atividade,2100,Administração da Unidade,33903000,Material de Consumo,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,30,0,Tesouro Municipal,1042343.0,92343.0,0.0,315477.98,228746.86,86731.12,93387.92,6656.8,86731.12,73626.02,72064.22,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Atividade,2100,Administração da Unidade,33903000,Material de Consumo,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,30,6,Recursos Próprios da Administração Indireta,56540.0,6540.0,0.0,21166.5,19690.5,1476.0,1476.0,0.0,1476.0,1476.0,1476.0,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Atividade,2100,Administração da Unidade,33903300,Passagens e Despesas com Locomoção,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,33,0,Tesouro Municipal,20000.0,17000.0,0.0,29681.28,13062.58,16618.7,26134.43,9515.73,16618.7,16618.7,16618.7,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Atividade,2100,Administração da Unidade,33903600,Outros Serviços de Terceiros - Pessoa Física,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,36,0,Tesouro Municipal,17212484.0,10350484.0,0.0,19051350.54,8700866.54,10350484.0,10550484.0,200000.0,10350484.0,10102475.45,10102475.45,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Atividade,2100,Administração da Unidade,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,0,Tesouro Municipal,35274725.0,30174725.0,0.0,30918097.99,1345467.39,29572630.6,31048543.23,1475912.63,29572630.6,25688111.94,25592893.68,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Atividade,2100,Administração da Unidade,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,6,Recursos Próprios da Administração Indireta,226161.0,106161.0,0.0,103433.2,0.0,103433.2,108433.2,5000.0,103433.2,103433.2,103433.2,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Auxilios,2100,Administração da Unidade,33904600,Auxílio-Alimentação,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,46,0,Tesouro Municipal,58029996.0,56729996.0,0.0,57529996.0,1318138.94,56211857.06,57529996.0,1318138.94,56211857.06,56211857.06,56211857.06,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Atividade,2100,Administração da Unidade,33904700,Obrigações Tributárias e Contributivas,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,47,0,Tesouro Municipal,200000.0,1662000.0,0.0,1775818.05,130876.18,1644941.87,1775818.05,130876.18,1644941.87,1455380.46,1455380.46,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Auxilios,2100,Administração da Unidade,33904900,Auxílio-Transporte,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,49,0,Tesouro Municipal,12519403.0,7019403.0,0.0,7519403.0,647088.37,6872314.63,7519403.0,647088.37,6872314.63,6872314.63,6872314.63,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Atividade,2100,Administração da Unidade,44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,0,Tesouro Municipal,200000.0,200000.0,48000.0,158389.46,7990.0,150399.46,150399.46,0.0,150399.46,150399.46,150399.46,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Atividade,2100,Administração da Unidade,44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,6,Recursos Próprios da Administração Indireta,284922.0,34922.0,0.0,45798.9,14648.1,31150.8,31150.8,0.0,31150.8,17860.0,17860.0,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,126,Tecnologia da Informação,3011,Modernização e descentralização da gestão e prestação de serviços,Projeto,Projeto,1220,Desenvolvimento de Sistemas de Informação e Comunicação,44903900,Outros Serviços de Terceiros - Pessoa Jurídica,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,39,0,Tesouro Municipal,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,126,Tecnologia da Informação,3024,Suporte Administrativo,Atividade,Atividade,2171,Manutenção de Sistemas de Informação e Comunicação,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,0,Tesouro Municipal,3770837.0,3770837.0,0.0,5858395.15,2099405.0,3758990.15,3758990.15,0.0,3758990.15,3504206.92,2825423.74,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,2029,"E240 - Hospital Municipal Vereador Storopoli (Rua Francisco Fanganiello, 127 - Pq.Novo Mundo) - Compra de Material Permanente",44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,0,Tesouro Municipal,200000.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,2030,"E2666 - Hospital Municipal Vereador José Storopolli na Vila Maria, para Aquisição de Eco-Cardiograma e Ultra-Som.",44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,0,Tesouro Municipal,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,2031,"E241 - Hospital Municipal Tatuapé Dr.Carmino Caricchio (Av.Celso Garcia, 4815 - Tatuapé) - Compra de Material Permanente",44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,0,Tesouro Municipal,500000.0,500000.0,0.0,287000.0,0.0,287000.0,287000.0,0.0,287000.0,0.0,0.0,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,2032,"E1940 - Hospital Cármino Caricchio(Hospital do Tatuapé) - Operação/Manutenção, Pronto Atendimento",33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,0,Tesouro Municipal,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Projeto,Projeto,3366,Construção e Instalação de Hospitais,44903900,Outros Serviços de Terceiros - Pessoa Jurídica,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,39,0,Tesouro Municipal,10500000.0,2234064.0,0.0,6783203.16,4550139.85,2233063.31,2233063.32,0.01,2233063.31,297153.73,297153.73,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Projeto,Projeto,3372,"Reforma, Recuperação e Adequação de Hospitais",44903900,Outros Serviços de Terceiros - Pessoa Jurídica,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,39,0,Tesouro Municipal,4012000.0,12499575.96,0.0,14678355.56,2181097.22,12497258.34,13070194.99,572936.65,12497258.34,9728502.8,9728502.8,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Projeto,Projeto,3372,"Reforma, Recuperação e Adequação de Hospitais",44903900,Outros Serviços de Terceiros - Pessoa Jurídica,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,39,2,Transferências Federais,52460000.0,36848985.36,36848985.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Projeto,Projeto,3372,"Reforma, Recuperação e Adequação de Hospitais",44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,0,Tesouro Municipal,4150000.0,11727345.03,0.0,12203349.47,476338.2,11727011.27,11910352.07,183340.8,11727011.27,9068444.4,9068444.4,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Projeto,Projeto,3372,"Reforma, Recuperação e Adequação de Hospitais",44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,2,Transferências Federais,52460000.0,42960000.0,42960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Projeto,Projeto,3372,"Reforma, Recuperação e Adequação de Hospitais",44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,0,Tesouro Municipal,21300000.0,2324271.31,0.0,18431944.68,16107766.62,2324178.06,2481650.06,157472.0,2324178.06,1501354.96,1487369.96,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33503900,Outros Serviços de Terceiros - Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,50,Transferências a Instituições Privadas sem fins Lucrativos,39,0,Tesouro Municipal,55602315.0,138878677.19,0.0,168385732.47,29507055.28,138878677.19,184563356.43,45684679.24,138878677.19,138878677.19,138878677.19,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33901400,Diárias - Civil,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,14,2,Transferências Federais,16225.0,68225.0,0.0,26107.41,11765.95,14341.46,26107.41,11765.95,14341.46,14341.46,14341.46,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903000,Material de Consumo,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,30,0,Tesouro Municipal,19800000.0,23783872.22,0.0,37980936.2,14197397.97,23783538.23,32935398.97,9151860.74,23783538.23,21198334.57,20825938.17,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903000,Material de Consumo,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,30,2,Transferências Federais,112008300.0,111407008.81,0.0,186291839.13,75064180.07,111227659.06,132323361.3,21095702.24,111227659.06,107430988.46,106705362.85,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903000,Material de Consumo,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,30,6,Recursos Próprios da Administração Indireta,113080.0,96080.0,0.0,161745.87,84577.2,77168.67,83684.54,6515.87,77168.67,73064.27,73064.27,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903300,Passagens e Despesas com Locomoção,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,33,2,Transferências Federais,16225.0,56225.0,0.0,23622.61,5220.46,18402.15,18402.16,0.01,18402.15,18402.15,18402.15,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903600,Outros Serviços de Terceiros - Pessoa Física,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,36,0,Tesouro Municipal,545575.0,0.0,0.0,539000.0,539000.0,0.0,539000.0,539000.0,0.0,0.0,0.0,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,0,Tesouro Municipal,142840511.0,261322399.01,0.0,360173600.83,99063334.45,261110266.38,319531489.11,58421222.73,261110266.38,254214617.4,252089129.82,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,2,Transferências Federais,18055150.0,27595150.0,0.0,30017324.45,2751433.48,27265890.97,28883691.79,1617800.82,27265890.97,25853709.31,25853709.31,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,6,Recursos Próprios da Administração Indireta,1130809.0,1637809.0,0.0,1714200.0,91300.0,1622900.0,1684700.0,61800.0,1622900.0,1571133.47,1571133.47,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33904800,Outros Auxílios Financeiros a Pessoas Físicas,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,48,0,Tesouro Municipal,105600.0,64600.0,0.0,62390.0,0.0,62390.0,66290.0,3900.0,62390.0,62390.0,62390.0,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33909200,Despesas de Exercícios Anteriores,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,92,0,Tesouro Municipal,0.0,2059481.24,0.0,2100411.24,101143.36,1999267.88,2053827.03,54559.15,1999267.88,1999267.88,1999267.88,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33909200,Despesas de Exercícios Anteriores,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,92,2,Transferências Federais,0.0,601291.19,0.0,609133.83,7842.64,601291.19,642421.79,41130.6,601291.19,577796.19,577796.19,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,0,Tesouro Municipal,800000.0,1495000.0,648000.0,607054.71,229819.39,377235.32,377235.32,0.0,377235.32,0.0,0.0,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,2,Transferências Federais,66100.0,83100.0,0.0,69070.79,69070.79,0.0,15370.0,15370.0,0.0,0.0,0.0,25/02/2015 14:29:29
2014-01-01,2014-12-31,2014,2014,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,6,Recursos Próprios da Administração Indireta,73170.0,3170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25/02/2015 14:29:29
