codigo,especificacao_da_receita,receita_orcada,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
10000000,RECEITAS CORRENTES,6596987000.001,6539185744.65,99.1238234158868
11000000,RECEITA TRIBUTÁRIA,3060794000,3013254887.15,98.446837230797
11100000,IMPOSTOS,2886678000,2894404448.69,100.26765883448
11120000,Imposto s/ o patrimôno e a renda,1392600000.001,1460744659.66,104.893340489656
11120200,Imposto s/ a propriedade predial e territorial urbana,1197468000,1265410248.71,105.673825831671
11120201,Imposto sobre a propriedade predial ,1141886000,1216620235.27,106.544807035904
11120202,Imposto sobre a propriedade territorial urbana,55582000.001,48790013.44,87.7802407958011
11120800,Imposto s/ transmissão Inter-vivos-ITBI-IV,195132000.001,195334410.95,100.103730269253
11130000,Imposto sobre produção e a ciculação,1494078000,1433659789.03,95.9561541653113
11130500,Imposto sobre serviço de qualquer natureza,1493883000,1433344916.78,95.9476021067245
11130501,ISS,1493883000,1424080854.4,95.327469045434
11130502,ISS-Sistema Integrado-Simples,0,926402.38,0
11130700,imposto sobre a venda a varejo de combustivéis líquidos e gasosos-IVV,195000,314872.25,161.472948717949
11200000,Taxas,172211000.001,118689257.22,68.9208338720005
11210000,Taxa pelo exercicío do poder de policia,172085000,94783435.55,55.0794290902752
11210100,"Taxa de licença para localização,funcionamento e instalação",78693000.001,58705359.99,74.6004854170689
11210200,taxa de licença para trafego de veiculos,0,65,0
11210400,Taxa de fiscalização de anuncios,72082000,13108287.75,18.1852442357315
11210600,Taxa de licença para construção de arruamentos e loteamentos,1308000,1213201.68,92.7524220183486
11210700,Taxa de Vist.ap.transp.vert.horizontal,1836000,1941008.8,105.719433551198
11210800,Taxa para exame e verificação de projetos de construções,18166000,19815512.33,109.080217604316
11220000,Taxa pela prestação de serviços,126000,23905821.67,18972.8743412698
11220100,Taxa de Limpeza pública,0,19436353.63,0
11220200,Taxa de Conservação de vias e logradouros públicos,0,3473706.47,0
11220400,Taxa de combate a sinistros,0,866365.64,0
11220500,Taxa de estudos p/ fixação de diretrizes,126000.001,129395.93,102.695181724641
11300000,Contribuições de melhoria,1905000,161181.24,8.46095748031496
13000000,Receita patrimonial,9672000,14466285.57,149.568709367246
13100000,Receitas Imobiliárias,4713000,4552331.88,96.5909586250796
13110000,Receitas de Proprios municipais,4713000,4552331.88,96.5909586250796
13110001,"Rendas de mercados, feiras e matadouros-sistema Velho",200000.001,222006.54,111.003269444984
13110002,"Rendas de mercados, feiras e matadouros-sistema novo",1557000,1685722.55,108.267344251766
13110300,Receita de estádio municipal,607000,250182.69,41.2162586490939
13110400,Receita de TEATROS-PMSP,299000,206252.503,68.9807702341137
13110500,Receita de Teatros-FEPAC,706000,402952.59,57.0754376770538
13110600,Receita do autodromo,169000,178022.32,105.338650887574
13110700,Receita do kartodromo,98000.001,124162.33,126.696253809222
13110800,Receita de permissão de atividades ambulantes,130000.001,23203.57,17.8488998627008
13110900,Receita das unidades educacionais e esportivas,127000,183131.61,144.198118110236
13111000,Outras receitas de próprios municipais,820000,1000670.74,122.033017073171
13111100,concess.p expl.coml.estac.subterraneo-sm,0,4709.24,0
13111200,impl.inst.pass.de equip.Urbanos-convias,0,271315.2,0
13200000,Receitas de valores mobiliários,4959000.001,9913953.69,199.918404678379
13210001,PMSP,2976000.001,2163283.66,72.690983174499
13210100,Resultado das aplicações financeiras,2976000.001,4930709.77,165.682451893252
13210102,FUNDES,0.001,461523.37,0
13210103,CAMARA MUNICIPAL DE SP,0,47417.95,0
13210104,T.C.M,0,136000.38,0
13210106,FEPAC,0,25714.06,0
13210700,FUNCAD,0,4957.02,0
13210800,FUTUR,0,139.69,0
13210900,FUNCOR,0,37133.12,0
13211000,FUNDEF,0,355914,0
13211100,Operação urbana faria lima,0,1698542.03,0
13211200,Operações Interligadas,0,84.24,0
13211400,Funso esp.operação urbana- água branca-FEAB,0,0.25,0
