codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes
10000000,RECEITAS CORRENTES,18923028900,"2,094.014.948,78",11.07,3981437208.31
11000000,RECEITA TRIBUTÁRIA,9202355600,1230039615.83,13.37,1831149916.46
11100000,IMPOSTOS,8977125800,1223120336.85,13.62,1815338928.4
11120000,Impostos s/ o Patrimônio e a Renda ,3697905100,895002245.04,22.9,1061591031.08
11120200,IMPOSTOS / A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,2925146100,819114962.77,28,908606827.22
11120201,lmpostos / a Propriedade Predial,2781029600,785520625.86,28.25,871.131.647.64
11120202,lmposto s/ a Propriedade Tenitorial Urbana,144116500,33594336.91,23.31,37475179.68
11120400,IMPOSTO S /A RENDA E PROVENTOS DE OUALOUER NATUREZA,565764200,47423270.39,8.38,99207115.37
11120431,lmposto de Renda Retido nas Fontes s/ os Rendimentos do trabalho,532583200,40914688,7.68,85.571.844.93
11120433,lmposto de Renda Retido nas Fontes s/ Remessa de Recursos ao exterior,0,0,0,0.00
11120434,lmposto de Renda Retido nas Fontes s/ Outros Rendimentos,33181000,6508582.39,19.62,13635270.44
11120800,IMPOSTO S /TRANSMISSAO INTER-VIVOS DE BENS lMOVElS E DE DIREITOS REAIS S / IMOVEIS.ITBI.IV,406994800,28464011.88,6.99,53777088.49
11130000,IMPOSTO S/ A PRODUQAO E A CIRCULAÇÃO,5079220700,328118091.81,6.46,753747887.32
11130500,IMPOSTO S/ SERVIÇOS DE OUALQUER NATUREZA,5079097800,328118051.81,6.46,753.747.857.32
11130601,ISS,5044994000,326774308.69,6.48,748.266.924.67
11130502,ISS - Sistemal Integrado- Simples,33647700,1343559.72,3.99,5348010.45
11130503,ISS - CMSP,456100,183.4,0.04,132922.2
11130700,lmpostos / Venda a Varejo De Combustiveis Liquidos e Gasosos. IVV,122900,40.00,0.03,40
11200000,TAXAS,224816600,5778943.96,2.57,10985760.82
11210000,TAXAS PELO EXERCICIO  DO PODER DE POLICIA,177632200,4270451.96,2.4,1407765.98
11212500,"TAXA DE LICENÇA.P/ O  FUNCIONAMENTO DE ESTABELECIMENTOS COMERCIAIS, INDUSTRIAIS E PRESTADORAS DE SERVIÇOS",97260500,1004971.89,1.03,2.361.358.14
11212501,Taxa de Licença p/ Localização lnstalação e Funcionamento,0,0,0.00,0.00
11212502,Taxa de Vistoria de Normas do Segurança,0,0,0,0.00
11212503,Taxa de Fiscalização de Estabelecimentos TFE,97260500,1004971.89,1.03,2.361 .358.14
11212600,TAXA DE PUBLICIDADE COMERCIAL,40000000,210966.45,0.53,566307.54
11212601,Taxa de Fiscalização de Anuncios,40000000,210966.45,0.53,566307.54
11213200,TAXA DE APROVAÇÃO DO PROJETO DE CONSTRUÇÃO CIVIL,32094900,3036191.67,9.46,5436575
11213201,Taxa p/ Exame e Verificação de Projetos e Construções,32094900,3.036.191.67,9.47,5436575
11213400,TAXA DE FISCALIZAÇÃO DE APARELHOS DE TRANSPORTE,4499900,3202.43,0.07,13392.96
11213401,Taxa de Vistoria de Aparelhos de Transporte Vertical e Horizontal,4499900,3202.43,0.07,13.392.96
11219900,OUTRAS TAXAS P / EXERCICIO DO PODER DE POLICIA,3776900,15119.52,0.4,30132.34
11219901,Taxa de Licença p/Trafego de Veículos,82200,0,0,0
11219902,Taxa de Licença p/ Arruamentos e Loteamentos,14400,0,0,48.54
11219903,Taxa de Fiscalização dos Servigos de Limpeza Urbana- FISLURB,2082900,8769.12,0.42,20081.56
11219904,Taxa do Remoção - CET,1597400,6350.4,0.4,10002.24
11220000,TAXAS PELA PRESTAÇÃO DE SERVISOS,47184400,1508492,3.2,2577994.84
11229000,TAXA DE LIMPEZA PUBLICA,46961700,1465360.25,3.12,2486009.27
11229001,Taxa de Limpeza Pulblica,0,2180.29,0,4.360.58
11229002,Taxa de Residuos Sólidos Domiciliares- TRSD,580200,492725.62,84.92,1210324.58
11229003,Taxa de Resíduos Sólidos de Serviços de Saúde - TRSS,46381500,970454.34,2.09,1.271.324.11
11229900,OUTRAS TAXAS PELA PRESTAÇÃO DE SERVIÇOS,222700,43131.75,19.31,91985.57
11229901,Taxa de Conservação de  Vias e Logradouros Púlblicos,0,493.05,0,986.1
11229902,Taxa de Estudos p / Fixação d e Diretrizes,222700,34225.12,15.37,75.056.27
11229903,Taxa de Combate a Sinistros,0,8413.58,0,15943.2
11300000,CONTRIBIIÇÃO DE MELHORIA,413200,8631.49,2.09,20750.82
11300001,Contribuição de melhoria,413200,8631.49,2.09,20750.82
11400000,RECEITA  TRIBUTÁRIA A CLASSIFICAR,0,1.131.657.78,0.00,3109500.46
11500000,RECEITAS A CLASSIFICAR. DAMSP,0,45.75,0,1694975.96
12000000,RECETTAS DE CONTRIBUIÇÕES,169796800,13160805.23,7.75,27859753.24
12100000,CONBTRIBUIÇÕES SOCIAIS,0,0.00,0.00,0.00
12104600,COMPENSAÇÃO PREVIDENCIÁRIA ENTRE REGIME GERAL E OS REGIMES PROPRIOS DE PREVIDENCIA DOS SERVIDORES,0,0.00,0.00,0.00
12104601,Compensação  Previdenciária,0,0,0,0
12200000,CONBTRIBUIÇÕES ECONÔMICAS,169796800,13160805.23,7.75,27859753.24
12202900,CONTRIBUIÇÃO S/ O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PUBLICA . COSIP/FUNDIP,189796800,13.160405.23,7.75,27859753.24
13000000,RECEITA PATRIMONIAL,623550800,23091650.81,3.70,85533340.7
13100000,RECEITAS IMOBILIÁRIAS,3779300,322673.82,8.54,716570.07
13110000,ALUGUÉIS,52500,4545.3,8.66,8167.1
13119900,OUTRAS RECEITAS DE ALUGUÉIS,52500,4545.3,8.66,8.167.10
13190000,OUTRAS RECEITAS IMOBILIÁRIAS,3726800,318128.52,8.54,708402.97
13200000,RECEITAS DE VALORES MOBILIÁRIOS,571948800,22402317.6,3.92,60510187.33
13220000,DIVIDENDOS,338500,723.27,0.21,723.27
13230000,PARTICIPAÇÕES,0,0.00,0,0.00
13250000,REMUNERAÇÃO DE DEPOSITOS BANCARIOS,30927000,1.507.772.62,4.88,7574800.35
13250100,REMUNERAÇÃO DE DEPOSITOS DE RECURSOS VINCULADOS,30927000,1.507.772.63,4.88,7574800.35
13250101,Receita de Remuneração de Depositos Bancários de RecursosVinculados - Royalties,0,0,0,0.00
13250102,Receita de Remuneração de Depósitos Bancários de RecursosVlnculados- FUNDEB,0,0,0,0
13250103,Receita de Remuneração de Depósitos Bancários de Recursos Vinculados- Fundo de Saúde( SMS/FMS),21817000,1507772.62,6.91,7.574.800.35
13250105,Receita e Remuneração  de Depósitos Bancários de Recursos Vinculados- Manutenção e Desenvolvimento do  Ensino- MDE,0,0,0,0.00
13250199,Receita de Romuneração de Outros Depósitos Bancários de Recursos Vinculados,9110000,0,0,0
13250200,REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS,0,0,0,0
