codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
100000000000,RECEITAS CORRENTES,31067292886,2557736910.05,8.23,8895118803.87,28.63
110000000000,RECEITA TRIBUTÁRIA,14710355032,1175980290.85,7.99,4295121087.14,29.2
111000000000,IMPOSTOS,14458959307,1167937911.98,8.08,4273308768.81,29.55
111200000000,IMPOSTOS S/ O PATRIMÔNIO E A RENDA,6595230854,569781450.52,8.64,2329813489.3,35.33
111202000000,IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,4542689052,412616902.33,9.08,1885389178.01,41.5
111202010000,IMPOSTO S/ A PROPRIEDADE PREDIAL,4366196644,379411751.13,8.69,1788277342.43,40.96
111202020000,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,176492408,33205151.2,18.81,97111835.58,55.02
111204000000,IMPOSTO S/ A RENDA E PROVENTOS DE QUALQUER NATUREZA,975933744,75042124.14,7.69,219829456.62,22.53
111204310000,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENTOS DO TRABALHO,838382466,54894771.53,6.55,180767646.65,21.56
111204330000,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE RECURSOS AO EXTERIOR,0,0,0,46573.65,0
111204340000,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDIMENTOS,137551278,20147352.61,14.65,39015236.32,28.36
111208000000,IMPOSTO S/ TRANSMISSÃO  INTER-VIVOS  DE BENS IMÓVEIS E DE DIREITOS REA,1076608058,82122424.05,7.63,224594854.67,20.86
111208010000,IMPOSTO S/ TRANSMISSÃO  INTER-VIVOS  DE BENS IMÓVEIS E DE DIREITOS REA,1076608058,82122424.05,7.63,224594854.67,20.86
111300000000,IMPOSTO S/ A PRODUÇÃO E A CIRCULAÇÃO,7863728453,598156461.46,7.61,1943495279.51,24.71
111305000000,IMPOSTO S/ SERVIÇOS DE QUALQUER NATUREZA,7863728453,598156461.46,7.61,1943495279.51,24.71
111305010000,ISS,7339430325,551599289.74,7.52,1801332369.24,24.54
111305020000,ISS - SISTEMA INTEGRADO - SIMPLES,492623,12728.37,2.58,47061.26,9.55
111305040000,ISS - SIMPLES NACIONAL,523805505,46544443.35,8.89,142115849.01,27.13
112000000000,TAXAS,251392925,8052432.42,3.2,21822117.27,8.68
112100000000,TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,221908077,7870994.98,3.55,19998801.71,9.01
112125000000,"TAXA DE LICENÇA P/ FUNCIONAMENTO DE ESTABELECIMENTOS COMERCIAIS, INDÚS",104121933,1667914.05,1.6,4326169.64,4.15
112125030000,TAXA DE FISCALIZAÇÃO DE ESTABELECIMENTOS - TFE,104121933,1667914.05,1.6,4326169.64,4.15
112126000000,TAXA DE PUBLICIDADE COMERCIAL,17035003,800188.07,4.7,1472928.1,8.65
112126010000,TAXA DE FISCALIZAÇÃO DE ANÚNCIOS,17035003,800188.07,4.7,1472928.1,8.65
112132000000,TAXA DE APROVAÇÃO DO PROJETO DE CONSTRUÇÃO CIVIL,68270177,4176050.52,6.12,11682795.22,17.11
112132010000,TAXA P/ EXAME E VERIFICAÇÃO DE  PROJETOS E CONSTRUÇÕES,68270177,4176050.52,6.12,11682795.22,17.11
112134000000,TAXA DE FISCALIZAÇÃO DE APARELHOS DE TRANSPORTE,10936394,13941.8,0.13,46304.69,0.42
112134010000,TAXA DE VISTORIA DE APARELHOS DE TRANSPORTE VERTICAL E HORIZONTAL,10936394,13941.8,0.13,46304.69,0.42
112199000000,OUTRAS TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,21544570,1212900.54,5.63,2470604.06,11.47
112199030000,TAXA DE FISCALIZAÇÃO DOS SERVIÇOS DE LIMPEZA URBANA - FISLURB,1871812,564665.14,30.17,577890.56,30.87
112199040000,TAXA DE REMOÇÃO - CET,19672758,648235.4,3.3,1892713.5,9.62
112200000000,TAXAS PELA PRESTAÇÃO DE SERVIÇOS,29484848,181437.44,0.62,1823315.56,6.18
112290000000,TAXA DE LIMPEZA PÚBLICA,17958131,120601.88,0.67,1623465.76,9.04
112290010000,TAXA DE LIMPEZA PÚBLICA,34070,2184.2,6.41,6552.58,19.23
