Descrição_Categoria_Código,Textbox112,Textbox113,Descrição_Fonte_Código,Textbox98,Textbox99,Descrição_Especificação_Código,Textbox86,Textbox87,Descrição_Rubrica_Código,Textbox66,Textbox67,Descrição_Alínea_Código,Textbox55,Textbox56,Descrição_Sub_Alínea_Código,Textbox108,Textbox109,Valor_Previsto_Receita_Anual1,Valor_Realizado_Receita,Textbox32,Textbox33
1 - RECEITAS CORRENTES,"R$ 24.541.016.159,00","R$ 23.608.772.333,69",1.1 - RECEITA TRIBUTÁRIA,"R$ 10.788.805.393,00","R$ 11.013.394.674,15",1.1.1 - IMPOSTOS,"R$ 10.580.443.593,00","R$ 10.696.783.607,09",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.635.000.000,00","R$ 4.734.826.368,23",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 3.161.400.000,00","R$ 3.229.987.360,93",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 3.045.500.000,00","R$ 3.092.745.919,62","R$ 253.791.666,67","R$ 69.186.313,02","R$ 25.757.112.892,00","R$ 23.239.802.141,30"
1 - RECEITAS CORRENTES,"R$ 24.541.016.159,00","R$ 23.608.772.333,69",1.1 - RECEITA TRIBUTÁRIA,"R$ 10.788.805.393,00","R$ 11.013.394.674,15",1.1.1 - IMPOSTOS,"R$ 10.580.443.593,00","R$ 10.696.783.607,09",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.635.000.000,00","R$ 4.734.826.368,23",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 3.161.400.000,00","R$ 3.229.987.360,93",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 3.045.500.000,00","R$ 3.092.745.919,62","R$ 253.791.666,67","R$ 875.799.992,27","R$ 25.757.112.892,00","R$ 23.239.802.141,30"
1 - RECEITAS CORRENTES,"R$ 24.541.016.159,00","R$ 23.608.772.333,69",1.1 - RECEITA TRIBUTÁRIA,"R$ 10.788.805.393,00","R$ 11.013.394.674,15",1.1.1 - IMPOSTOS,"R$ 10.580.443.593,00","R$ 10.696.783.607,09",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.635.000.000,00","R$ 4.734.826.368,23",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 3.161.400.000,00","R$ 3.229.987.360,93",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 3.045.500.000,00","R$ 3.092.745.919,62","R$ 253.791.666,67","R$ 314.029.301,54","R$ 25.757.112.892,00","R$ 23.239.802.141,30"
1 - RECEITAS CORRENTES,"R$ 24.541.016.159,00","R$ 23.608.772.333,69",1.1 - RECEITA TRIBUTÁRIA,"R$ 10.788.805.393,00","R$ 11.013.394.674,15",1.1.1 - IMPOSTOS,"R$ 10.580.443.593,00","R$ 10.696.783.607,09",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.635.000.000,00","R$ 4.734.826.368,23",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 3.161.400.000,00","R$ 3.229.987.360,93",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 3.045.500.000,00","R$ 3.092.745.919,62","R$ 253.791.666,67","R$ 218.756.635,50","R$ 25.757.112.892,00","R$ 23.239.802.141,30"
1 - RECEITAS CORRENTES,"R$ 24.541.016.159,00","R$ 23.608.772.333,69",1.1 - RECEITA TRIBUTÁRIA,"R$ 10.788.805.393,00","R$ 11.013.394.674,15",1.1.1 - IMPOSTOS,"R$ 10.580.443.593,00","R$ 10.696.783.607,09",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.635.000.000,00","R$ 4.734.826.368,23",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 3.161.400.000,00","R$ 3.229.987.360,93",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 3.045.500.000,00","R$ 3.092.745.919,62","R$ 253.791.666,67","R$ 222.534.206,48","R$ 25.757.112.892,00","R$ 23.239.802.141,30"
1 - RECEITAS CORRENTES,"R$ 24.541.016.159,00","R$ 23.608.772.333,69",1.1 - RECEITA TRIBUTÁRIA,"R$ 10.788.805.393,00","R$ 11.013.394.674,15",1.1.1 - IMPOSTOS,"R$ 10.580.443.593,00","R$ 10.696.783.607,09",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.635.000.000,00","R$ 4.734.826.368,23",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 3.161.400.000,00","R$ 3.229.987.360,93",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 3.045.500.000,00","R$ 3.092.745.919,62","R$ 253.791.666,67","R$ 229.439.215,35","R$ 25.757.112.892,00","R$ 23.239.802.141,30"
1 - RECEITAS CORRENTES,"R$ 24.541.016.159,00","R$ 23.608.772.333,69",1.1 - RECEITA TRIBUTÁRIA,"R$ 10.788.805.393,00","R$ 11.013.394.674,15",1.1.1 - IMPOSTOS,"R$ 10.580.443.593,00","R$ 10.696.783.607,09",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.635.000.000,00","R$ 4.734.826.368,23",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 3.161.400.000,00","R$ 3.229.987.360,93",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 3.045.500.000,00","R$ 3.092.745.919,62","R$ 253.791.666,67","R$ 227.981.502,09","R$ 25.757.112.892,00","R$ 23.239.802.141,30"
1 - RECEITAS CORRENTES,"R$ 24.541.016.159,00","R$ 23.608.772.333,69",1.1 - RECEITA TRIBUTÁRIA,"R$ 10.788.805.393,00","R$ 11.013.394.674,15",1.1.1 - IMPOSTOS,"R$ 10.580.443.593,00","R$ 10.696.783.607,09",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.635.000.000,00","R$ 4.734.826.368,23",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 3.161.400.000,00","R$ 3.229.987.360,93",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 3.045.500.000,00","R$ 3.092.745.919,62","R$ 253.791.666,67","R$ 219.100.060,96","R$ 25.757.112.892,00","R$ 23.239.802.141,30"
1 - RECEITAS CORRENTES,"R$ 24.541.016.159,00","R$ 23.608.772.333,69",1.1 - RECEITA TRIBUTÁRIA,"R$ 10.788.805.393,00","R$ 11.013.394.674,15",1.1.1 - IMPOSTOS,"R$ 10.580.443.593,00","R$ 10.696.783.607,09",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.635.000.000,00","R$ 4.734.826.368,23",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 3.161.400.000,00","R$ 3.229.987.360,93",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 3.045.500.000,00","R$ 3.092.745.919,62","R$ 253.791.666,67","R$ 213.717.804,09","R$ 25.757.112.892,00","R$ 23.239.802.141,30"
1 - RECEITAS CORRENTES,"R$ 24.541.016.159,00","R$ 23.608.772.333,69",1.1 - RECEITA TRIBUTÁRIA,"R$ 10.788.805.393,00","R$ 11.013.394.674,15",1.1.1 - IMPOSTOS,"R$ 10.580.443.593,00","R$ 10.696.783.607,09",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.635.000.000,00","R$ 4.734.826.368,23",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 3.161.400.000,00","R$ 3.229.987.360,93",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 3.045.500.000,00","R$ 3.092.745.919,62","R$ 253.791.666,67","R$ 218.275.849,78","R$ 25.757.112.892,00","R$ 23.239.802.141,30"
