id,data,codigo,descricao,previsto_mensal,realizado_mensal
0.0,2009-01,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 253.791.666,67","R$ 69.186.313,02"
1.0,2009-02,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 253.791.666,67","R$ 875.799.992,27"
2.0,2009-03,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 253.791.666,67","R$ 314.029.301,54"
3.0,2009-04,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 253.791.666,67","R$ 218.756.635,50"
4.0,2009-05,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 253.791.666,67","R$ 222.534.206,48"
5.0,2009-06,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 253.791.666,67","R$ 229.439.215,35"
6.0,2009-07,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 253.791.666,67","R$ 227.981.502,09"
7.0,2009-08,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 253.791.666,67","R$ 219.100.060,96"
8.0,2009-09,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 253.791.666,67","R$ 213.717.804,09"
9.0,2009-10,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 253.791.666,67","R$ 218.275.849,78"
10.0,2009-11,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 253.791.666,67","R$ 220.694.071,43"
11.0,2009-12,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 253.791.666,67","R$ 63.230.967,11"
12.0,2009-01,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 9.658.333,33","R$ 2.593.514,14"
13.0,2009-02,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 9.658.333,33","R$ 40.073.958,82"
14.0,2009-03,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 9.658.333,33","R$ 24.757.364,15"
15.0,2009-04,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 9.658.333,33","R$ 9.130.559,95"
16.0,2009-05,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 9.658.333,33","R$ 8.704.293,56"
17.0,2009-06,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 9.658.333,33","R$ 8.616.544,57"
18.0,2009-07,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 9.658.333,33","R$ 8.205.692,90"
19.0,2009-08,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 9.658.333,33","R$ 8.241.502,81"
20.0,2009-09,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 9.658.333,33","R$ 8.914.428,63"
21.0,2009-10,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 9.658.333,33","R$ 7.459.573,92"
22.0,2009-11,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 9.658.333,33","R$ 7.944.754,76"
23.0,2009-12,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 9.658.333,33","R$ 2.599.253,10"
24.0,2009-01,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENT,"R$ 63.333.333,33","R$ 50.762.722,56"
25.0,2009-02,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENT,"R$ 63.333.333,33","R$ 46.936.899,40"
26.0,2009-03,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENT,"R$ 63.333.333,33","R$ 47.454.694,26"
27.0,2009-04,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENT,"R$ 63.333.333,33","R$ 50.067.121,70"
28.0,2009-05,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENT,"R$ 63.333.333,33","R$ 51.979.376,19"
29.0,2009-06,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENT,"R$ 63.333.333,33","R$ 53.163.170,84"
30.0,2009-07,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENT,"R$ 63.333.333,33","R$ 62.815.449,31"
31.0,2009-08,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENT,"R$ 63.333.333,33","R$ 55.111.117,58"
32.0,2009-09,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENT,"R$ 63.333.333,33","R$ 54.422.422,17"
33.0,2009-10,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENT,"R$ 63.333.333,33","R$ 53.830.274,61"
34.0,2009-11,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENT,"R$ 63.333.333,33","R$ 52.609.989,17"
35.0,2009-12,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENT,"R$ 63.333.333,33","R$ 102.208.671,82"
36.0,2009-01,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE R,"R$ 0,00","R$ 0,00"
37.0,2009-02,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE R,"R$ 0,00","R$ 0,00"
38.0,2009-03,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE R,"R$ 0,00","R$ 0,00"
39.0,2009-04,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE R,"R$ 0,00","R$ 0,00"
40.0,2009-05,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE R,"R$ 0,00","R$ 0,00"
41.0,2009-06,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE R,"R$ 0,00","R$ 0,00"
42.0,2009-07,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE R,"R$ 0,00","R$ 0,00"
43.0,2009-08,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE R,"R$ 0,00","R$ 0,00"
44.0,2009-09,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE R,"R$ 0,00","R$ 0,00"
45.0,2009-10,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE R,"R$ 0,00","R$ 0,00"
46.0,2009-11,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE R,"R$ 0,00","R$ 0,00"
47.0,2009-12,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE R,"R$ 0,00","R$ 0,00"
48.0,2009-01,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDI,"R$ 10.416.666,67","R$ 6.959.433,52"
49.0,2009-02,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDI,"R$ 10.416.666,67","R$ 7.238.943,65"
50.0,2009-03,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDI,"R$ 10.416.666,67","R$ 8.695.862,28"
51.0,2009-04,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDI,"R$ 10.416.666,67","R$ 10.058.530,48"
52.0,2009-05,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDI,"R$ 10.416.666,67","R$ 8.625.146,42"
53.0,2009-06,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDI,"R$ 10.416.666,67","R$ 10.420.492,04"
54.0,2009-07,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDI,"R$ 10.416.666,67","R$ 11.889.738,72"
55.0,2009-08,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDI,"R$ 10.416.666,67","R$ 11.192.382,51"
56.0,2009-09,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDI,"R$ 10.416.666,67","R$ 13.106.909,66"
57.0,2009-10,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDI,"R$ 10.416.666,67","R$ 11.410.835,21"
58.0,2009-11,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDI,"R$ 10.416.666,67","R$ 11.613.278,70"
59.0,2009-12,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDI,"R$ 10.416.666,67","R$ 23.927.649,61"
60.0,2009-01,1.1.1.2.08.01,IMPOSTO S/ TRANSMISSÃO  INTER-VIVOS  DE BENS IMÓVE,"R$ 49.050.000,00","R$ 36.515.475,51"
61.0,2009-02,1.1.1.2.08.01,IMPOSTO S/ TRANSMISSÃO  INTER-VIVOS  DE BENS IMÓVE,"R$ 49.050.000,00","R$ 45.789.591,97"
62.0,2009-03,1.1.1.2.08.01,IMPOSTO S/ TRANSMISSÃO  INTER-VIVOS  DE BENS IMÓVE,"R$ 49.050.000,00","R$ 54.406.268,62"
63.0,2009-04,1.1.1.2.08.01,IMPOSTO S/ TRANSMISSÃO  INTER-VIVOS  DE BENS IMÓVE,"R$ 49.050.000,00","R$ 50.484.872,35"
64.0,2009-05,1.1.1.2.08.01,IMPOSTO S/ TRANSMISSÃO  INTER-VIVOS  DE BENS IMÓVE,"R$ 49.050.000,00","R$ 49.917.050,65"
65.0,2009-06,1.1.1.2.08.01,IMPOSTO S/ TRANSMISSÃO  INTER-VIVOS  DE BENS IMÓVE,"R$ 49.050.000,00","R$ 60.423.900,14"
66.0,2009-07,1.1.1.2.08.01,IMPOSTO S/ TRANSMISSÃO  INTER-VIVOS  DE BENS IMÓVE,"R$ 49.050.000,00","R$ 60.592.101,34"
67.0,2009-08,1.1.1.2.08.01,IMPOSTO S/ TRANSMISSÃO  INTER-VIVOS  DE BENS IMÓVE,"R$ 49.050.000,00","R$ 60.948.987,77"
68.0,2009-09,1.1.1.2.08.01,IMPOSTO S/ TRANSMISSÃO  INTER-VIVOS  DE BENS IMÓVE,"R$ 49.050.000,00","R$ 58.923.841,55"
69.0,2009-10,1.1.1.2.08.01,IMPOSTO S/ TRANSMISSÃO  INTER-VIVOS  DE BENS IMÓVE,"R$ 49.050.000,00","R$ 60.288.634,16"
70.0,2009-11,1.1.1.2.08.01,IMPOSTO S/ TRANSMISSÃO  INTER-VIVOS  DE BENS IMÓVE,"R$ 49.050.000,00","R$ 62.634.675,07"
